nama_produk,kategori,harga,deskripsi,nama_toko
KALUNG SUPER FLAT HOLOGRAM FLOWER,Kalung,13560000,Kalung super flat hologram flower emas 17K,Bunga Tanjung Official Shop
KALUNG SERUT CABLE HOLLOW BOLD,Kalung,4992000,Kalung serut cable hollow bold emas 17K,Bunga Tanjung Official Shop
KALUNG SIMPUL JUNTAI BOLA,Kalung,5244000,Kalung simpul juntai bola emas 17K,Bunga Tanjung Official Shop
KALUNG SERUT CLOVER O,Kalung,11418000,Kalung serut clover O emas 17K,Bunga Tanjung Official Shop
KALUNG HERME ROSE GOLD,Kalung,7509000,Kalung Herme rose gold emas 17K,Bunga Tanjung Official Shop
KALUNG SOLENE NELDJU SYIFA HADJU,Kalung,7260000,Kalung Solene Neldju Syifa Hadju emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 59,Kalung,6816200,Kalung variasi 59 emas 17K,Bunga Tanjung Official Shop
KALUNG SMILEY,Kalung,9276000,Kalung smiley emas 17K,Bunga Tanjung Official Shop
KALUNG KIDS ANAK KUROMI,Kalung,7008000,Kalung anak Kuromi emas 17K,Bunga Tanjung Official Shop
KALUNG SERUT AUREL,Kalung,13056000,Kalung serut Aurel emas 17K,Bunga Tanjung Official Shop
KALUNG ULAR LISTRING C,Kalung,16080000,Kalung ular listring C emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 52,Kalung,4460800,Kalung variasi 52 emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 38,Kalung,8409100,Kalung variasi 38 emas 17K,Bunga Tanjung Official Shop
KALUNG ARESO BOBBA SHIMMER B,Kalung,4992000,Kalung Areso Bobba Shimmer B emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 39,Kalung,9470750,Kalung variasi 39 emas 17K,Bunga Tanjung Official Shop
KALUNG FLOWER COLOR BLOSSOM LY,Kalung,24648000,Kalung flower color blossom LY emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 47,Kalung,10427000,Kalung variasi 47 emas 17K,Bunga Tanjung Official Shop
KALUNG ZEFIA BLOOM A,Kalung,9276000,Kalung Zefia Bloom A emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 45,Kalung,9364500,Kalung variasi 45 emas 17K,Bunga Tanjung Official Shop
KALUNG TETES C,Kalung,8016000,Kalung tetes C emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 123,Kalung,6853000,Kalung variasi 123 emas 17K,Bunga Tanjung Official Shop
KALUNG ALYA CLOVER PAPERCLIP,Kalung,6756000,Kalung Alya Clover Paperclip emas 17K,Bunga Tanjung Official Shop
KALUNG HATI KRAWANG BUNGA MAWAR,Kalung,8646000,Kalung hati krawang bunga mawar emas 17K,Bunga Tanjung Official Shop
KALUNG KIZUNA CLOVER,Kalung,5244000,Kalung Kizuna Clover emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 35,Kalung,9259100,Kalung variasi 35 emas 17K,Bunga Tanjung Official Shop
